name,energy,protein,lipid,carbohydrate,calcium,iron,vitaminE,vitaminB1,vitaminB2,vitaminC,cholesterol,solt
くずきり,3.56,0.002,0.002,0.877,0.19,0.014,0,0,0,0,0,0
ピオカパール,3.51,0.001,0.002,0.867,0.29,0.008,0,0,0,0,0,0
はるさめ,3.42,0.001,0.002,0.845,0.69,0.009,0,0,0,0,0,0
砂糖,3.84,0,0,0.992,0.01,0,0,0,0,0,0,0
さとう,3.84,0,0,0.992,0.01,0,0,0,0,0,0,0
グラニュー糖,3.87,0,0,1,0,0,0,0,0,0,0,0
角砂糖,3.87,0,0,1,0,0.001,0,0,0,0,0,0
氷砂糖,3.87,0,0,1,0,0.001,0,0,0,0,0,0
コーヒーシュガー,3.87,0.001,0,0.999,0.01,0.002,0,0,0,0,0,0
粉あめ,3.81,0,0,0.97,0,0.001,0,0,0,0,0,0
水あめ,3.28,0,0,0.85,0,0.001,0,0,0,0,0,0
はちみつ,2.94,0.002,0,0.797,0.02,0.008,0,0.0001,0.0001,0.03,0,0
メープルシロップ,2.57,0.001,0,0.663,0.75,0.004,0,0,0.0002,0,0,0
あずき,3.39,0.203,0.022,0.587,0.75,0.054,0.006,0.0045,0.0016,0,0,0
小豆缶詰,2.18,0.044,0.004,0.492,0.13,0.013,0.001,0.0002,0.0004,0,0,0.002
小倉缶,2.18,0.044,0.004,0.492,0.13,0.013,0.001,0.0002,0.0004,0,0,0.002
こしあん,1.55,0.098,0.006,0.271,0.25,0.028,0.002,0.0002,0.0005,0,0,0
いんげんまめ,3.33,0.199,0.022,0.578,1.3,0.06,0.003,0.005,0.002,0,0,0
うずら豆,2.37,0.067,0.013,0.496,0.41,0.023,0.001,0.0003,0.0001,0,0,0.003
うずらまめ,2.37,0.067,0.013,0.496,0.41,0.023,0.001,0.0003,0.0001,0,0,0.003
豆きんとん,2.49,0.049,0.005,0.562,0.28,0.01,0.001,0.0001,0.0001,0,0,0.003
まめきんとん,2.49,0.049,0.005,0.562,0.28,0.01,0.001,0.0001,0.0001,0,0,0.003
えんどう,3.52,0.217,0.023,0.604,0.65,0.05,0.008,0.0072,0.0015,0,0,0
うぐいす豆,2.4,0.056,0.007,0.529,0.18,0.025,0.002,0.0002,0.0001,0,0,0.004
うぐいすまめ,2.4,0.056,0.007,0.529,0.18,0.025,0.002,0.0002,0.0001,0,0,0.004
ささげ,3.36,0.239,0.02,0.55,0.75,0.056,0.007,0.005,0.001,0,0,0
そらまめ,3.48,0.26,0.02,0.559,1,0.057,0.012,0.005,0.002,0,0,0
おたふく豆,2.51,0.079,0.012,0.522,0.54,0.053,0.003,0.0001,0.0001,0,0,0.004
おたふくまめ,2.51,0.079,0.012,0.522,0.54,0.053,0.003,0.0001,0.0001,0,0,0.004
ふき豆,2.63,0.096,0.016,0.525,0.39,0.027,0.004,0.0002,0.0001,0,0,0.008
だいず,4.17,0.353,0.19,0.282,2.4,0.094,0.036,0.0083,0.003,0,0,0
大豆,4.17,0.353,0.19,0.282,2.4,0.094,0.036,0.0083,0.003,0,0,0
だいず水煮,1.4,0.129,0.067,0.077,1,0.018,0.013,0.0001,0.0002,0,0,0.005
大豆水煮,1.4,0.129,0.067,0.077,1,0.018,0.013,0.0001,0.0002,0,0,0.005
きな粉,4.37,0.355,0.234,0.31,2.5,0.092,0.024,0.0076,0.0026,0,0,0
きなこ,4.37,0.355,0.234,0.31,2.5,0.092,0.024,0.0076,0.0026,0,0,0
木綿豆腐,0.72,0.066,0.042,0.016,1.2,0.009,0.006,0.0007,0.0003,0,0,0
